model,category,criterion,mean,std,n
gemma2-2b,general_reasoning,completeness,3.5,0.67,12
gemma2-2b,general_reasoning,correctness,3.0,0.6,12
gemma2-2b,general_reasoning,granularity,3.83,0.39,12
gemma2-2b,general_reasoning,logical_ordering,4.25,0.87,12
gemma2-2b,planning,completeness,3.75,1.14,12
gemma2-2b,planning,correctness,3.42,1.16,12
gemma2-2b,planning,granularity,3.75,0.45,12
gemma2-2b,planning,logical_ordering,4.42,0.79,12
llama3.2-3b,general_reasoning,completeness,2.75,0.62,12
llama3.2-3b,general_reasoning,correctness,2.58,0.67,12
llama3.2-3b,general_reasoning,granularity,3.17,0.39,12
llama3.2-3b,general_reasoning,logical_ordering,3.5,0.8,12
llama3.2-3b,planning,completeness,3.33,0.78,12
llama3.2-3b,planning,correctness,2.75,0.87,12
llama3.2-3b,planning,granularity,3.25,0.45,12
llama3.2-3b,planning,logical_ordering,3.42,1.0,12
phi3.5,general_reasoning,completeness,3.08,0.9,12
phi3.5,general_reasoning,correctness,2.75,0.75,12
phi3.5,general_reasoning,granularity,3.25,0.75,12
phi3.5,general_reasoning,logical_ordering,3.67,1.15,12
phi3.5,planning,completeness,3.67,1.07,12
phi3.5,planning,correctness,2.92,1.24,12
phi3.5,planning,granularity,3.17,0.83,12
phi3.5,planning,logical_ordering,3.83,1.34,12
qwen2.5-3b,general_reasoning,completeness,3.17,0.58,12
qwen2.5-3b,general_reasoning,correctness,2.33,0.49,12
qwen2.5-3b,general_reasoning,granularity,2.83,0.94,12
qwen2.5-3b,general_reasoning,logical_ordering,3.42,0.9,12
qwen2.5-3b,planning,completeness,3.58,0.9,12
qwen2.5-3b,planning,correctness,3.08,1.08,12
qwen2.5-3b,planning,granularity,3.5,0.67,12
qwen2.5-3b,planning,logical_ordering,4.0,1.21,12
