model,category,criterion,mean,std,n
gemma2-2b,coding,completeness,3.25,0.45,12
gemma2-2b,coding,correctness,4.0,0.43,12
gemma2-2b,coding,granularity,3.25,0.45,12
gemma2-2b,coding,logical_ordering,4.42,0.67,12
gemma2-2b,general_reasoning,completeness,3.67,0.98,12
gemma2-2b,general_reasoning,correctness,3.67,0.78,12
gemma2-2b,general_reasoning,granularity,3.58,0.51,12
gemma2-2b,general_reasoning,logical_ordering,4.17,1.03,12
gemma2-2b,logical_reasoning,completeness,2.77,1.01,13
gemma2-2b,logical_reasoning,correctness,3.0,1.0,13
gemma2-2b,logical_reasoning,granularity,3.46,0.78,13
gemma2-2b,logical_reasoning,logical_ordering,3.77,0.73,13
gemma2-2b,mathematics,completeness,3.38,0.96,13
gemma2-2b,mathematics,correctness,3.15,1.28,13
gemma2-2b,mathematics,granularity,3.62,0.65,13
gemma2-2b,mathematics,logical_ordering,3.69,1.18,13
gemma2-2b,planning,completeness,3.85,0.8,13
gemma2-2b,planning,correctness,3.62,0.87,13
gemma2-2b,planning,granularity,3.77,0.73,13
gemma2-2b,planning,logical_ordering,4.15,0.8,13
llama3.2-3b,coding,completeness,3.23,0.6,13
llama3.2-3b,coding,correctness,3.31,0.75,13
llama3.2-3b,coding,granularity,3.62,0.51,13
llama3.2-3b,coding,logical_ordering,4.08,0.76,13
llama3.2-3b,general_reasoning,completeness,3.54,0.88,13
llama3.2-3b,general_reasoning,correctness,3.31,1.11,13
llama3.2-3b,general_reasoning,granularity,3.69,0.48,13
llama3.2-3b,general_reasoning,logical_ordering,4.23,0.73,13
llama3.2-3b,logical_reasoning,completeness,2.36,1.03,11
llama3.2-3b,logical_reasoning,correctness,2.64,1.21,11
llama3.2-3b,logical_reasoning,granularity,3.0,0.89,11
llama3.2-3b,logical_reasoning,logical_ordering,3.27,1.1,11
llama3.2-3b,mathematics,completeness,3.58,1.08,12
llama3.2-3b,mathematics,correctness,3.25,1.22,12
llama3.2-3b,mathematics,granularity,3.83,0.58,12
llama3.2-3b,mathematics,logical_ordering,4.0,0.95,12
llama3.2-3b,planning,completeness,3.58,0.67,12
llama3.2-3b,planning,correctness,3.42,0.67,12
llama3.2-3b,planning,granularity,3.83,0.39,12
llama3.2-3b,planning,logical_ordering,4.17,1.03,12
phi3.5,coding,completeness,3.46,0.78,13
phi3.5,coding,correctness,3.38,0.77,13
phi3.5,coding,granularity,3.77,0.44,13
phi3.5,coding,logical_ordering,4.15,0.69,13
phi3.5,general_reasoning,completeness,4.0,1.0,13
phi3.5,general_reasoning,correctness,3.38,1.12,13
phi3.5,general_reasoning,granularity,3.62,0.51,13
phi3.5,general_reasoning,logical_ordering,4.23,0.93,13
phi3.5,logical_reasoning,completeness,2.77,0.73,13
phi3.5,logical_reasoning,correctness,2.46,1.05,13
phi3.5,logical_reasoning,granularity,3.31,0.63,13
phi3.5,logical_reasoning,logical_ordering,3.23,1.01,13
phi3.5,mathematics,completeness,3.5,0.8,12
phi3.5,mathematics,correctness,2.92,1.08,12
phi3.5,mathematics,granularity,3.58,0.79,12
phi3.5,mathematics,logical_ordering,4.0,0.85,12
phi3.5,planning,completeness,4.0,0.58,13
phi3.5,planning,correctness,3.54,0.88,13
phi3.5,planning,granularity,3.62,0.65,13
phi3.5,planning,logical_ordering,4.0,0.82,13
qwen2.5-3b,coding,completeness,3.46,0.66,13
qwen2.5-3b,coding,correctness,3.69,0.75,13
qwen2.5-3b,coding,granularity,3.77,0.44,13
qwen2.5-3b,coding,logical_ordering,4.38,0.77,13
qwen2.5-3b,general_reasoning,completeness,3.38,1.39,13
qwen2.5-3b,general_reasoning,correctness,3.38,1.19,13
qwen2.5-3b,general_reasoning,granularity,3.31,1.11,13
qwen2.5-3b,general_reasoning,logical_ordering,3.85,1.28,13
qwen2.5-3b,logical_reasoning,completeness,2.69,1.03,13
qwen2.5-3b,logical_reasoning,correctness,2.77,1.17,13
qwen2.5-3b,logical_reasoning,granularity,3.46,0.88,13
qwen2.5-3b,logical_reasoning,logical_ordering,3.62,0.96,13
qwen2.5-3b,mathematics,completeness,3.92,0.76,13
qwen2.5-3b,mathematics,correctness,3.85,1.07,13
qwen2.5-3b,mathematics,granularity,4.15,0.55,13
qwen2.5-3b,mathematics,logical_ordering,4.62,0.65,13
qwen2.5-3b,planning,completeness,3.15,1.14,13
qwen2.5-3b,planning,correctness,3.15,1.28,13
qwen2.5-3b,planning,granularity,3.23,1.09,13
qwen2.5-3b,planning,logical_ordering,3.77,1.54,13
