prompt_id,model,query,correct_tool,predicted_tool,tool_correct,correct_parameters,predicted_parameters,full_correct,parse_ok
1,gemma2-2b,What's the weather going to be like in Mumbai tomorrow?,get_weather,get_weather,True,"{""location"": ""Mumbai"", ""date"": ""tomorrow""}","{""location"": ""Mumbai"", ""date"": ""tomorrow""}",True,True
10,gemma2-2b,What is 245 multiplied by 37?,calculate,calculate,True,"{""expression"": ""245*37""}","{""expression"": ""245 * 37""}",False,True
11,gemma2-2b,Calculate 15% of 2400.,calculate,calculate,True,"{""expression"": ""0.15*2400""}","{""expression"": ""15/100 * 2400""}",False,True
12,gemma2-2b,What is the square root of 144?,calculate,calculate,True,"{""expression"": ""sqrt(144)""}","{""expression"": ""Math.sqrt(144)""}",False,True
13,gemma2-2b,Translate 'good morning' into French.,translate_text,translate_text,True,"{""text"": ""good morning"", ""target_language"": ""French""}","{""text"": ""good morning"", ""target_language"": ""fr""}",False,True
14,gemma2-2b,How do you say 'thank you' in Japanese?,translate_text,translate_text,True,"{""text"": ""thank you"", ""target_language"": ""Japanese""}","{""text"": ""thank you"", ""target_language"": ""ja""}",False,True
15,gemma2-2b,Translate this sentence into Spanish: I am learning to code.,translate_text,translate_text,True,"{""text"": ""I am learning to code"", ""target_language"": ""Spanish""}","{""text"": ""I am learning to code."", ""target_language"": ""es""}",False,True
16,gemma2-2b,Remind me to call mom at 6 PM today.,set_reminder,set_reminder,True,"{""message"": ""call mom"", ""datetime"": ""6 PM today""}","{""message"": ""Call mom at 6 PM today."", ""datetime"": ""2023-10-27T18:00:00""}",False,True
17,gemma2-2b,Set a reminder for my dentist appointment tomorrow at 10 AM.,set_reminder,set_reminder,True,"{""message"": ""dentist appointment"", ""datetime"": ""tomorrow at 10 AM""}","{""message"": ""Dentist appointment tomorrow at 10 AM"", ""datetime"": ""tomorrow 10:00""}",False,True
18,gemma2-2b,Tell me about the movie Inception.,search_movie,search_movie,True,"{""title"": ""Inception""}","{""title"": ""Inception""}",True,True
19,gemma2-2b,What is the movie Oppenheimer about?,search_movie,search_movie,True,"{""title"": ""Oppenheimer""}","{""title"": ""Oppenheimer""}",True,True
2,gemma2-2b,Will it rain in London this weekend?,get_weather,get_weather,True,"{""location"": ""London"", ""date"": ""this weekend""}","{""location"": ""London""}",False,True
20,gemma2-2b,Give me a summary of the movie Interstellar.,search_movie,summarize_text,False,"{""title"": ""Interstellar""}","{""text"": ""Interstellar""}",False,True
21,gemma2-2b,What is the current stock price of Apple?,get_stock_price,get_stock_price,True,"{""ticker_symbol"": ""AAPL""}","{""ticker_symbol"": ""AAPL""}",True,True
22,gemma2-2b,How much is Tesla stock trading at right now?,get_stock_price,get_stock_price,True,"{""ticker_symbol"": ""TSLA""}","{""ticker_symbol"": ""TSLA""}",True,True
23,gemma2-2b,What's Google's current share price?,get_stock_price,get_stock_price,True,"{""ticker_symbol"": ""GOOGL""}","{""ticker_symbol"": ""GOOG""}",False,True
