prompt_id,model,category,difficulty,has_reference,parse_ok,n_f1,e_f1,t_f1,v_f1
1,gemma2-2b,general_reasoning,low,True,True,0.0,0.0,0.0,0.0
10,gemma2-2b,general_reasoning,low,False,False,,,,
11,gemma2-2b,general_reasoning,low,False,False,,,,
12,gemma2-2b,general_reasoning,low,True,True,0.0,0.0,0.0,0.0
13,gemma2-2b,planning,low,True,True,0.6666666666666666,0.5,0.0,0.0
14,gemma2-2b,planning,low,True,True,0.0,0.0,0.0,0.0
15,gemma2-2b,planning,low,True,True,0.3333333333333333,0.0,0.0,0.0
16,gemma2-2b,planning,low,False,False,,,,
17,gemma2-2b,planning,low,False,False,,,,
18,gemma2-2b,planning,low,True,True,0.0,0.0,0.0,0.0
19,gemma2-2b,planning,low,False,False,,,,
2,gemma2-2b,general_reasoning,low,True,True,0.28571428571428575,0.0,0.0,0.0
20,gemma2-2b,planning,low,False,False,,,,
21,gemma2-2b,planning,low,True,True,0.0,0.0,0.0,0.0
22,gemma2-2b,planning,low,True,True,0.0,1.0,0.0,0.0
23,gemma2-2b,planning,low,True,True,0.6666666666666666,0.0,0.0,0.0
24,gemma2-2b,planning,low,False,False,,,,
3,gemma2-2b,general_reasoning,low,True,True,0.5,0.33333333333333337,0.0,0.0
4,gemma2-2b,general_reasoning,low,False,False,,,,
5,gemma2-2b,general_reasoning,low,False,False,,,,
6,gemma2-2b,general_reasoning,low,False,False,,,,
7,gemma2-2b,general_reasoning,low,True,True,0.0,0.0,0.0,0.0
8,gemma2-2b,general_reasoning,low,False,False,,,,
9,gemma2-2b,general_reasoning,low,True,False,,,,
1,llama3.2-3b,general_reasoning,low,True,True,0.8571428571428571,0.20000000000000004,0.888888888888889,0.33333333333333326
10,llama3.2-3b,general_reasoning,low,False,False,,,,
11,llama3.2-3b,general_reasoning,low,False,False,,,,
12,llama3.2-3b,general_reasoning,low,True,True,0.0,0.0,0.0,0.0
13,llama3.2-3b,planning,low,True,True,0.0,0.0,0.0,0.0
14,llama3.2-3b,planning,low,True,True,0.0,0.0,0.0,0.0
15,llama3.2-3b,planning,low,True,True,0.0,0.0,0.0,0.0
16,llama3.2-3b,planning,low,False,False,,,,
17,llama3.2-3b,planning,low,False,False,,,,
18,llama3.2-3b,planning,low,True,True,0.28571428571428575,0.0,0.0,0.0
19,llama3.2-3b,planning,low,False,False,,,,
2,llama3.2-3b,general_reasoning,low,True,True,0.25,0.0,0.0,0.0
20,llama3.2-3b,planning,low,False,False,,,,
21,llama3.2-3b,planning,low,True,True,0.3333333333333333,0.0,0.0,0.0
22,llama3.2-3b,planning,low,True,True,0.4,0.0,0.0,0.0
23,llama3.2-3b,planning,low,True,True,0.5,0.0,0.0,0.0
24,llama3.2-3b,planning,low,False,False,,,,
3,llama3.2-3b,general_reasoning,low,True,True,0.42857142857142855,0.0,0.0,0.0
4,llama3.2-3b,general_reasoning,low,False,False,,,,
5,llama3.2-3b,general_reasoning,low,False,False,,,,
6,llama3.2-3b,general_reasoning,low,False,False,,,,
7,llama3.2-3b,general_reasoning,low,True,True,0.6666666666666665,0.4,0.4615384615384615,0.4615384615384615
8,llama3.2-3b,general_reasoning,low,False,False,,,,
9,llama3.2-3b,general_reasoning,low,True,True,0.7499999999999999,0.0,0.7272727272727273,0.7272727272727273
1,phi3.5,general_reasoning,low,True,True,0.0,0.0,0.0,0.0
10,phi3.5,general_reasoning,low,False,False,,,,
11,phi3.5,general_reasoning,low,False,False,,,,
12,phi3.5,general_reasoning,low,True,False,,,,
13,phi3.5,planning,low,True,True,0.6666666666666666,0.5,0.0,0.0
14,phi3.5,planning,low,True,True,0.0,0.0,0.0,0.0
15,phi3.5,planning,low,True,True,0.3333333333333333,0.0,0.0,0.0
16,phi3.5,planning,low,False,False,,,,
17,phi3.5,planning,low,False,False,,,,
18,phi3.5,planning,low,True,True,0.8,0.6666666666666666,0.0,0.0
19,phi3.5,planning,low,False,False,,,,
2,phi3.5,general_reasoning,low,True,True,0.22222222222222224,0.0,0.0,0.0
20,phi3.5,planning,low,False,False,,,,
21,phi3.5,planning,low,True,True,0.28571428571428575,0.0,0.0,0.0
22,phi3.5,planning,low,True,True,0.5,0.0,0.0,0.0
23,phi3.5,planning,low,True,True,0.0,0.0,0.0,0.0
24,phi3.5,planning,low,False,False,,,,
3,phi3.5,general_reasoning,low,True,True,0.2,0.0,0.0,0.0
4,phi3.5,general_reasoning,low,False,False,,,,
5,phi3.5,general_reasoning,low,False,False,,,,
6,phi3.5,general_reasoning,low,False,False,,,,
7,phi3.5,general_reasoning,low,True,True,0.3333333333333333,0.0,0.33333333333333337,0.0
8,phi3.5,general_reasoning,low,False,False,,,,
9,phi3.5,general_reasoning,low,True,True,0.0,0.0,0.0,0.0
